101  2001.62    113.6    428.65     49.4      6.5    -1    1
102  2001.54    111.7    433.48     46.8      6.4    -1    1
103  2001.45    109.8    435.90     50.3      6.4    -1    1
104  2001.37    108.6    425.19     39.9      6.6    -1    1
105  2001.29    107.5    503.73     10.8      7.4    -1    1
106  2001.21    104.8    430.84     18.7      8.8    -1    1
107  2001.12    104.0    395.17     19.6      5.6    -1    1
108  2001.04    108.7    372.23     52.3      5.8    -1    1
109  2000.96    112.0    397.00     54.3      6.3    -1    1
110  2000.87    112.7    470.23     49.9      6.3    -1    1
111  2000.79    114.5    413.36     63.4      7.7    -1    1
112  2000.71    116.3    456.70     57.3      7.8    -1    1
113  2000.62    118.6    430.68     56.7      6.4    -1    1
114  2000.54    119.8    468.26     73.7      8.7    -1    1
115  2000.45    118.7    480.00     63.6      7.6    -1    1
116  2000.37    119.0    450.03     72.6      7.4    -1    1
117  2000.29    120.8    428.93     73.6      7.0    -1    1
118  2000.21    119.9    412.16     74.5      7.0    1    0
119  2000.12    116.8    495.18     73.9      6.7    1    0
120  2000.04    112.9    473.58     71.5      7.3    1    0
121  1999.96    111.1    452.80     71.5      6.7    1    0
122  1999.87    111.0    432.10     60.4      7.7    1    0
123  1999.79    107.8    483.81     72.9      7.4    1    0
124  1999.70    102.3    477.13     72.1      7.2    1    0
125  1999.62     97.5    467.36     74.5      7.2    1    0
126  1999.54     94.3    395.19     70.3      6.6    1    0
127  1999.45     93.1    400.50     49.3      5.8    1    0
128  1999.37     90.5    437.52     46.5      5.7    1    0
129  1999.29     85.5    444.50     48.1      6.6    1    0
130  1999.20     83.8    429.10     50.5      6.5    1    0
131  1999.12     84.6    415.83     42.5      7.5    1    0
132  1999.04     82.6    419.23     50.9      7.1    1    0
133  1998.96     77.9    397.20     43.1      7.4    1    0
134  1998.87     73.0    420.80     28.0      7.2    1    0
135  1998.79     70.5    444.45     16.8      8.0    1    0
136  1998.71     69.5    411.27     20.6      6.7    1    0
137  1998.62     67.8    421.16     28.2      6.8    1    0
138  1998.54     65.5    424.16     29.8      6.2    1    0
139  1998.45     62.5    409.40     24.0      7.1    1    0
140  1998.37     59.4    459.61     34.7      6.7    1    0
141  1998.29     56.6    381.87     33.9      7.2    1    0
142  1998.20     53.5    400.87     15.7      6.7    1    0
143  1998.12     49.0    378.21     17.8      6.5    1    0
144  1998.04     43.8    373.29      9.1      6.8    1    0
145  1997.96     39.0    324.73      6.7      6.1    1    0
146  1997.87     35.0    375.50      8.4      6.4    1    0
