733	1983.87
743	1983.79
748	1983.70
777	1983.62
776	1983.54
834	1983.45
890	1983.37
807	1983.29
816	1983.20
876	1983.12
936	1983.04
1029	1982.95
973	1982.87
1008	1982.79
1082	1982.70
1008	1982.62
1012	1982.54
880	1982.45
735	1982.37
765	1982.29
784	1982.20
877	1982.12
773	1982.04
827	1981.95
894	1981.87
911	1981.79
816	1981.70
858	1981.62
860	1981.54
869	1981.45
955	1981.37
919	1981.29
888	1981.20
878	1981.12
833	1981.04
906	1980.95
905	1980.87
853	1980.79
793	1980.70
803	1980.62
817	1980.54
813	1980.45
734	1980.37
735	1980.29
692	1980.20
727	1980.12
717	1980.04
701	1979.95
749	1979.87
748	1979.79
799	1979.70
821	1979.62
757	1979.54
757	1979.45
696	1979.37
720	1979.29
664	1979.20
638	1979.12
622	1979.04
583	1978.95
583	1978.87
603	1978.79
555	1978.70
560	1978.62
619	1978.54
623	1978.45
667	1978.37
613	1978.29
568	1978.20
560	1978.12
547	1978.04
503	1977.95
504	1977.87
515	1977.79
541	1977.70
540	1977.62
546	1977.54
510	1977.45
498	1977.37
499	1977.29
492	1977.20
503	1977.12
506	1977.04
499	1976.95
494	1976.87
495	1976.79
492	1976.70
500	1976.62
501	1976.54
508	1976.45
520	1976.37
540	1976.29
522	1976.20
521	1976.12
531	1976.04
524	1975.95
545	1975.87
520	1975.79
516	1975.70
523	1975.62
506	1975.54
501	1975.45
511	1975.37
517	1975.29
527	1975.20
535	1975.12
560	1975.04
566	1974.95
614	1974.87
629	1974.79
635	1974.70
605	1974.62
648	1974.54
603	1974.45
580	1974.37
535	1974.29
527	1974.20
500	1974.12
514	1974.04
505	1973.95
508	1973.87
516	1973.79
513	1973.70
546	1973.62
559	1973.54
582	1973.45
639	1973.37
603	1973.29
548	1973.20
528	1973.12
525	1973.04
532	1972.95
554	1972.87
529	1972.79
542	1972.70
649	1972.62
533	1972.54
565	1972.45
516	1972.37
499	1972.29
509	1972.20
542	1972.12
545	1972.04
550	1971.95
538	1971.87
535	1971.79
557	1971.70
559	1971.62
574	1971.54
579	1971.45
627	1971.37
644	1971.29
644	1971.20
652	1971.12
691	1971.04
704	1970.95
776	1970.87
736	1970.79
754	1970.70
801	1970.62
848	1970.54
849	1970.45
783	1970.37
791	1970.29
746	1970.20
740	1970.12
768	1970.04
772	1969.95
770	1969.87
774	1969.79
784	1969.70
812	1969.62
861	1969.54
897	1969.45
864	1969.37
788	1969.29
771	1969.20
756	1969.12
761	1969.04
854	1968.95
883	1968.87
801	1968.79
758	1968.70
732	1968.62
746	1968.54
752	1968.45
708	1968.37
684	1968.29
693	1968.20
688	1968.12
680	1968.04
694	1967.95
691	1967.87
663	1967.79
674	1967.70
683	1967.62
656	1967.54
675	1967.45
659	1967.37
623	1967.29
614	1967.20
647	1967.12
633	1967.04
616	1966.95
591	1966.87
614	1966.79
673	1966.70
575	1966.62
571	1966.54
551	1966.45
517	1966.37
534	1966.29
525	1966.20
503	1966.12
501	1966.04
485	1965.95
484	1965.87
499	1965.79
511	1965.70
517	1965.62
515	1965.54
498	1965.45
466	1965.37
472	1965.29
484	1965.20
495	1965.12
497	1965.04
499	1964.95
516	1964.87
518	1964.79
521	1964.70
529	1964.62
534	1964.54
531	1964.45
538	1964.37
553	1964.29
562	1964.20
579	1964.12
577	1964.04
591	1963.95
608	1963.87
619	1963.79
641	1963.70
615	1963.62
606	1963.54
610	1963.45
634	1963.37
611	1963.29
629	1963.20
627	1963.12
644	1963.04
686	1962.95
677	1962.87
701	1962.79
696	1962.70
675	1962.62
675	1962.54
682	1962.45
689	1962.37
720	1962.29
705	1962.20
715	1962.12
704	1962.04
700	1961.95
683	1961.87
729	1961.79
753	1961.70
784	1961.62
856	1961.54
750	1961.45
746	1961.37
775	1961.29
771	1961.20
770	1961.12
789	1961.04
850	1960.95
892	1960.87
856	1960.79
856	1960.70
854	1960.62
905	1960.54
906	1960.45
945	1960.37
947	1960.29
888	1960.20
932	1960.12
962	1960.04
916	1959.95
896	1959.87
909	1959.79
992	1959.70
1038	1959.62
1071	1959.54
880	1959.45
925	1959.37
862	1959.29
900	1959.20
966	1959.12
932	1959.04
959	1958.95
922	1958.87
936	1958.79
939	1958.70
954	1958.62
1010	1958.54
937	1958.45
978	1958.37
1061	1958.29
1078	1958.20
1021	1958.12
1040	1958.04
1046	1957.95
986	1957.87
970	1957.79
1015	1957.70
893	1957.62
933	1957.54
902	1957.45
872	1957.37
914	1957.29
840	1957.20
863	1957.12
856	1957.04
775	1956.95
663	1956.87
580	1956.79
632	1956.70
607	1956.62
602	1956.54
627	1956.45
637	1956.37
613	1956.29
656	1956.20
606	1956.12
580	1956.04
549	1955.95
513	1955.87
516	1955.79
496	1955.70
508	1955.62
500	1955.54
500	1955.45
496	1955.37
503	1955.29
503	1955.20
505	1955.12
539	1955.04
504	1954.95
495	1954.87
487	1954.79
485	1954.70
480	1954.62
495	1954.54
501	1954.45
499	1954.37
504	1954.29
497	1954.20
515	1954.12
527	1954.04
533	1953.95
545	1953.87
543	1953.79
553	1953.70
556	1953.62
561	1953.54
553	1953.45
564	1953.37
565	1953.29
569	1953.20
563	1953.12
575	1953.04
553	1952.95
541	1952.87
558	1952.79
521	1952.70
529	1952.62
528	1952.54
540	1952.45
557	1952.37
595	1952.29
622	1952.20
609	1952.12
599	1952.04
573	1951.95
588	1951.87
574	1951.79
580	1951.70
623	1951.62
600	1951.54
571	1951.45
601	1951.37
642	1951.29
651	1951.20
661	1951.12
0	1951.04
